hy,Unnamed: 0,pred,tweet_text,label_y,new_label,new_label_2,count
1097,1646,114,sonhei que meu pai e minha madrasta tiveram um filho e foi pessimo,filh,filho,cha revelacao filho filha filhoo filhinho filhinha nascido nascer nascia nascida,1
1098,2384,114,sonhei que tinha uma filha mas isso nao tem possibilidade nenhuma de acontecer,filh,filha,cha revelacao filho filha filhoo filhinho filhinha nascido nascer nascia nascida,1
1099,2397,114,sonhei que eu estava esquiando com o meu filho ele era perfeito eu ficava toda orgulhosa olhando pra ele,filh,filho,cha revelacao filho filha filhoo filhinho filhinha nascido nascer nascia nascida,1
1100,2532,114,sonhei que tive uma filha e era a coisa mais preciosa do mundo mas em algum momento me toquei que era mais uma responsabilidade e das maiores da minha vida entao acordei desesperado e isso,filh,filha,cha revelacao filho filha filhoo filhinho filhinha nascido nascer nascia nascida,1
1101,2582,114,sonhei que tinha uma filha,filh,filha,cha revelacao filho filha filhoo filhinho filhinha nascido nascer nascia nascida,1
1102,2715,114,essa noite eu sonhei com o filho do dougie daquele video do komodo dragon,filh,filho,cha revelacao filho filha filhoo filhinho filhinha nascido nascer nascia nascida,1
1103,2932,114,eu sonhei que ensinava minha filha a nadar nao tenho filha e nao sei nadar,filh,filha filha,cha revelacao filho filha filhoo filhinho filhinha nascido nascer nascia nascida,1
1104,2976,114,sonhei tinha um filho era igual samuel,filh,filho,cha revelacao filho filha filhoo filhinho filhinha nascido nascer nascia nascida,1
1105,3101,114,sonhei com deuses gregos e uma coisa meio pjk e eu era filho de afrodite,filh,filho,cha revelacao filho filha filhoo filhinho filhinha nascido nascer nascia nascida,1
1106,3137,114,sonhei que a victoria teve um filho meu deus,filh,filho,cha revelacao filho filha filhoo filhinho filhinha nascido nascer nascia nascida,1
1107,3502,114,sonhei que meu tio me chamava de filha,filh,filha,cha revelacao filho filha filhoo filhinho filhinha nascido nascer nascia nascida,1
1108,3696,114,sonhei q tinha filho e era td cabeludinha,filh,filho,cha revelacao filho filha filhoo filhinho filhinha nascido nascer nascia nascida,1
1109,331,45,hoje sonhei que tinha uma filhinha,filh,filhinha,cha revelacao filho filha filhoo filhinho filhinha nascido nascer nascia nascida,1
1110,595,45,sonhei que tinha um filhinho,filh,filhinho,cha revelacao filho filha filhoo filhinho filhinha nascido nascer nascia nascida,1
1994,1435,450,sonhei que cuidava de um recem nascido e nao era meu filho,nasc,nascido,cha revelacao filho filha filhoo filhinho filhinha nascido nascer nascia nascida,1
1995,1629,450,eu sonhei com um nascer do sol claramento to precisando de um,nasc,nascer,cha revelacao filho filha filhoo filhinho filhinha nascido nascer nascia nascida,1
1996,1785,450,sonhei que eu ia votar e meu filho tinha dias de nascido sera,nasc,nascido,cha revelacao filho filha filhoo filhinho filhinha nascido nascer nascia nascida,1
1997,3690,450,sonhei que minha filha nascia e ela era a coisa mais linda,nasc,nascia,cha revelacao filho filha filhoo filhinho filhinha nascido nascer nascia nascida,1
1998,3807,450,sonhei que gael nascia,nasc,nascia,cha revelacao filho filha filhoo filhinho filhinha nascido nascer nascia nascida,1
1999,3868,450,sonhei que tinha adotado uma menininha recem nascida,nasc,nascida,cha revelacao filho filha filhoo filhinho filhinha nascido nascer nascia nascida,1
2448,437,263,sonhei q eu tava transando com uma versao mais jovem da minha ex chefe e acordei molhado serio n eh piada alguem pfv pague minha terapia,chefe,chefe,chefe,1
559,45,142,sonhei que as pecas do box do meu banheiro tinham chegado acordei e nao tinha nem comprado ainda agora to triste,banheira,banheiro,banheiro,1
560,268,142,eu sonhei com a grimes estava otimo ate o elon musk chegar,cheg,chegar,chegado chegar chega chegou chegava,1
561,575,142,sonhei q tinha colocado silicone nao vejo a hora desse dia chegar,cheg,chegar,chegado chegar chega chegou chegava,1
562,689,142,eu sonhei que eu tava ficando uma amiga e a gente ia transar chega eu acordei nervous,cheg,chega,chegado chegar chega chegou chegava,1
563,755,142,sonhei esses dias e hoje chegou,cheg,chegou,chegado chegar chega chegou chegava,1
564,1022,142,sonhei q a chegava pra ficar com a q sdd,cheg,chegava,chegado chegar chega chegou chegava,1
565,1281,142,sonhei q o rafhaelmeiber recusava de sair comigo e quando eu chegava no role ele tava la pq aceitou sair c um amigo em comum o odio,cheg,chegava,chegado chegar chega chegou chegava,1
566,1533,142,sonhei que tinha uma filha lind a escondia a gravidez de todo mundo e chegava com a minha cara isso,cheg,chegava,chegado chegar chega chegou chegava,1
567,1750,142,sonhei que eu comprava um astra pretao com roda aro um dia chega,cheg,chega,chegado chegar chega chegou chegava,1
